"","Survived","Pclass","Name","Sex","Age","Fare","Embarked"
"359","0","3","O'Keefe, Mr. Patrick","male","Adult",7.75,"Q"
"360","1","3","Lindell, Mrs. Edvard Bengtsson (Elin Gerda Persson)","female","Adult",15.55,"S"
"361","0","3","Sage, Master. William Henry","male","Child",69.55,"S"
"362","1","2","Mallet, Mrs. Albert (Antoinette Magnin)","female","Adult",37.0042,"C"
"363","1","2","Ware, Mrs. John James (Florence Louise Long)","female","Adult",21,"S"
"364","0","3","Strilic, Mr. Ivan","male","Adult",8.6625,"S"
"365","1","1","Harder, Mrs. George Achilles (Dorothy Annan)","female","Adult",55.4417,"C"
"366","1","3","Sage, Mrs. John (Annie Bullen)","female","Adult",69.55,"S"
"367","0","3","Caram, Mr. Joseph","male","Adult",14.4583,"C"
"368","1","3","Riihivouri, Miss. Susanna Juhantytar Sanni""""","female","Adult",39.6875,"S"
"369","1","1","Gibson, Mrs. Leonard (Pauline C Boeson)","female","Adult",59.4,"C"
"370","0","2","Pallas y Castello, Mr. Emilio","male","Adult",13.8583,"C"
"371","0","2","Giles, Mr. Edgar","male","Adult",11.5,"S"
"372","1","1","Wilson, Miss. Helen Alice","female","Adult",134.5,"C"
"373","0","1","Ismay, Mr. Joseph Bruce","male","Adult",0,"S"
"374","0","2","Harbeck, Mr. William H","male","Adult",13,"S"
"375","1","1","Dodge, Mrs. Washington (Ruth Vidaver)","female","Adult",81.8583,"S"
"376","1","1","Bowen, Miss. Grace Scott","female","Adult",262.375,"C"
"377","1","3","Kink, Miss. Maria","female","Adult",8.6625,"S"
"378","0","2","Cotterill, Mr. Henry Harry""""","male","Adult",11.5,"S"
"379","0","1","Hipkins, Mr. William Edward","male","Adult",50,"S"
"380","0","3","Asplund, Master. Carl Edgar","male","Child",31.3875,"S"
"381","0","3","O'Connor, Mr. Patrick","male","Adult",7.75,"Q"
"382","0","3","Foley, Mr. Joseph","male","Adult",7.8792,"Q"
"383","1","3","Risien, Mrs. Samuel (Emma)","female","Adult",14.5,"S"
"384","1","3","McNamee, Mrs. Neal (Eileen O'Leary)","female","Adult",16.1,"S"
"385","0","2","Wheeler, Mr. Edwin Frederick""""","male","Adult",12.875,"S"
"386","1","2","Herman, Miss. Kate","female","Adult",65,"S"
"387","0","3","Aronsson, Mr. Ernst Axel Algot","male","Adult",7.775,"S"
"388","0","2","Ashby, Mr. John","male","Adult",13,"S"
"389","0","3","Canavan, Mr. Patrick","male","Adult",7.75,"Q"
"390","0","3","Palsson, Master. Paul Folke","male","Child",21.075,"S"
"391","0","1","Payne, Mr. Vivian Ponsonby","male","Adult",93.5,"S"
"392","1","1","Lines, Mrs. Ernest H (Elizabeth Lindsey James)","female","Adult",39.4,"S"
"393","0","3","Abbott, Master. Eugene Joseph","male","Child",20.25,"S"
"394","0","2","Gilbert, Mr. William","male","Adult",10.5,"S"
"395","0","3","Kink-Heilmann, Mr. Anton","male","Adult",22.025,"S"
"396","1","1","Smith, Mrs. Lucien Philip (Mary Eloise Hughes)","female","Child",60,"S"
"397","0","3","Colbert, Mr. Patrick","male","Adult",7.25,"Q"
"398","1","1","Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)","female","Adult",79.2,"C"
"399","0","3","Larsson-Rondberg, Mr. Edvard A","male","Adult",7.775,"S"
"400","0","3","Conlon, Mr. Thomas Henry","male","Adult",7.7333,"Q"
"401","1","1","Bonnell, Miss. Caroline","female","Adult",164.8667,"S"
"402","0","2","Gale, Mr. Harry","male","Adult",21,"S"
"403","1","1","Gibson, Miss. Dorothy Winifred","female","Adult",59.4,"C"
"404","0","1","Carrau, Mr. Jose Pedro","male","Child",47.1,"S"
"405","0","1","Frauenthal, Mr. Isaac Gerald","male","Adult",27.7208,"C"
"406","0","2","Nourney, Mr. Alfred (Baron von Drachstedt"")""","male","Adult",13.8625,"C"
"407","0","2","Ware, Mr. William Jeffery","male","Adult",10.5,"S"
"408","0","1","Widener, Mr. George Dunton","male","Adult",211.5,"C"
"409","1","3","Riordan, Miss. Johanna Hannah""""","female","Adult",7.7208,"Q"
"410","1","3","Peacock, Miss. Treasteall","female","Child",13.775,"S"
"411","1","3","Naughton, Miss. Hannah","female","Adult",7.75,"Q"
"412","1","1","Minahan, Mrs. William Edward (Lillian E Thorpe)","female","Adult",90,"Q"
"413","1","3","Henriksson, Miss. Jenny Lovisa","female","Adult",7.775,"S"
"414","0","3","Spector, Mr. Woolf","male","Adult",8.05,"S"
"415","1","1","Oliva y Ocana, Dona. Fermina","female","Adult",108.9,"C"
"416","0","3","Saether, Mr. Simon Sivertsen","male","Adult",7.25,"S"
"417","0","3","Ware, Mr. Frederick","male","Adult",8.05,"S"
"418","0","3","Peter, Master. Michael J","male","Adult",22.3583,"C"
